,content,essay_label_id,Daily_life,Health_and_lifestyle,Selfawareness_and_Improvement,Language_Learning,Career_planning,Communication,Literature,Art,Sports,Traditional_custom,Hot_topic,History_Politics_Culture,Social_Progress_and_Human_Civilization,Technology_and_Invention,National_Geography,Natural_Environment_and_Heritage_Protection,Human_Environment_Animals_Plants,Human_Society_and_Environment,Cultural_heritage
113,"    反安慰剂效应，一种心理学陷阱      You've heard of the placebo   ①  effect.  But are you aware of the nocebo   ②  effect, in which the human body has a negative   ③  physical reaction to a suggestive   ④  harm?  If someone gives you a cup of sugar water without telling you that it's sugar water and instead tells you that it's something that will make you vomit, chances are high that you're actually gonna vomit.  Your mind has the power to create its own physical reality.  Why do we yawn when we see others yawn?  Throughout   ⑤  history, there have been incidents: the dancing plague of 1518, the Tanganyika laughter epidemic   ⑥  , the Hindu milk miracle.  Some believe they are stress response.  But psychologists call it a conversion disorder, in which the body converts a mental stress to a set of physical symptoms, such as a spasm.  And like any disorder, it can be contagious   ⑦  .  These kinds of collective   ⑧  behavior is not limited to human beings.   What we know is that in certain communities, under certain circumstances, an involuntary    ⑨   physical symptom developed by one person can become viral and spread from person to person until the entire community is affected.  So my question to you is: If the idea of illness can become illness, what else about our reality is actually a disorder   ⑩  ?  Sometimes you are not as weak as you think you are.  Sometimes you are not as dumb   ⑪  as you think you are.   To some extend, you yourself can actually decide your own reality.  So don't give up on fighting. Don't give up on having hope.","['0', '0', '1', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"   Enjoy your life       I sat in the comfort of my grandparents’ house, enjoying the rain and the “Cat Concerto” episode    ①   of Tom and Jerry with my grandfather.  Munching   ②  on one of my grandmother’s fresh, scrumptious   ③  rotis, I saw a monkey suddenly swing onto the bars on our door.  My grandfather encouraged me to offer it my roti; it gently accepted the gift.  Peering   ④  in, my new friend stared with interest at the TV.   The curious monkey, my grandfather, and I watched the rest of Tom and Jerry’s adventure together, astonished at the harmony    ⑤   that exists between humans and animals in our world.","['0', '1', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '1', '0']",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
115,"     Born to man, born benevolent      A doctor entered the hospital in hurry after being called in for an urgent   ①  surgery   ②  . He answered the call , changed his clothes  and  went directly to the surgery block. He found the boy's father pacing   ③  in the hall waiting for the doctor. On seeing him, the dad yelled   ④  :  ""Why did you take all this time to come? Don't you know that my son's life is in danger? Don't you have any sense of responsibility?""  The doctor smiled  and  said:  ""I am sorry, I wasn't in the hospital  and  I came as fast as I could after receiving the call  .  And now, I wish you'd calm down so that I can do my work  .  ""  ""Calm down?! What if your son was in this room right now, would you calm down? If your own son dies now what will you do?"" said the father angrily  .   The doctor smiled again   and   replied: ""I will say what Job said in the Holy Book ""From dust    ⑤   we came   and   to dust we return, blessed    ⑥   be the name of God"".  Doctors cannot prolong lives.  The surgery took some hours after which the doctor went out happy,""Thank goodness!, your son is saved!"" And without waiting for the father's reply he carried on his way running. ""If you have any question, ask the nurse!""  ""Why is he so arrogant? He couldn't wait some minutes so that I ask about my son's state  .  "" Commented   ⑦  the father when seeing the nurse minutes after the doctor left.  The nurse answered, tears coming down her face: ""His son died yesterday in a road accident, he was in the burial   ⑧  when we called him for your son's surgery. And now that he saved your son's life, he left running to finish his son's burial.""   Moral - Never judge anyone   because you never know how their life is and what they're going through   .","['0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"   The freedom to live my own life       It's not easy to live and work in a big city, because the competition    ①   is so fierce and you can barely    ②   balance your job and your life.  It's not easy to live in a small city, because everyone around you will think they have a say in how you live and you're basically living your life for others.   I live in one of the busiest city in the world and I just had a dinner with a former classmate several days ago.  She gave up. And she had decided to go back home.  ""Sad.""I thought. But I didn't stop her, because it was her own choice.  I, on the other hand, have a well paid job. So my life is quite good in my point of view.  But I, too, had my tough days in the first few years after I came here.  And even now, sometimes I got overwhelmed   ③  by the workload.  But I conquered   ④  them. And they made me stronger.  I know it's hard to live in such a big city.  And I know it's also hard to live in a small city like my hometown, just in a different way.   But I chose here because it has the very thing that I cherish    ⑤   the most: the freedom to live my own life.","['1', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0']",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
117,"   Because of His Love      Job was not a brilliant man. He swept floors for a living. He believed that Tarzan was a real man, and that all those movies were really documentary of Tarzan's life. He was the butt of many jokes, yet he taught me about the essence of a ""real man"": love and respect for women, honor, kindness and gentleness.  Job embraced life in unexpected, simple ways. He showed up for work, on time. He never bragged about himself, and he loved only one woman -his wife, Molly. Job filled void a in my life. He was principled straightforward and in my world of dishonor and lies. He loved me as his very own grandchild, even though he was a year younger than my father.  I will never forget my graduation from high school. That was a day of hopeless inevitability for me. My father, who was a heavy drinker, began his celebration very early in the day. By the time we congratulated in the high school gymnasium my father had congratulated himself through nearly a case of beer.  I tried to be invisible within a sea of faces. wanted to run away and disappear. Most of all I wanted was no one to guess whose kid I was. 1 was betrayed by my last name, which began with the letter ""A"" , so I was the first graduate on the first row.   Being a red-head gave me even more exposure, and the b   a   c   c   alaureate   ①   speaker, who had never met me, decided to use me as his audio-visual aid.  ""This young lady, this bright young lady with the bright red hair. "" His voice rolled through the auditorium in sonorous phrases, as I sank lower in my seat. Over to my left, at the door of the auditorium, was a seating arrangement for the ""elderly"". And there sat Molly, age , and Job, age 47, with all of the grandparents.   My heart ached when I looked at them, wishing with all my heart that I were, truly, their grandchild.  As the speaker continued with his speech, he reached a point where he had an uncontrollable urge to introduce ""all the wonderful people who have made this day possible!""  ""All the siblings  ②  of the graduates, please, stand."" I slipped lower in my seat, glancing hurriedly around, hoping to remain invisible.  ""Now, all the parents, please stand."" Dear Lord, I thought, I'm sure my father can't stand, even if he wanted to. I didn't bother to look around.  ""Now the grandparents"" I closed my eyes, dreading the hopelessness of my situation. I had no grandparent to stand proudly for me. I finally opened my eyes, and there they were, Job and Molly, standing proudly with all the other grandparents.   Job looked over at me, his eyes beaming like diamonds.   ""I'm so proud of you,"" he smiled as he mouthed the words that I will never forget. I knew that he stood there, not out of duty, but because of his love for me!","['1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,"   Learn to say no and you can go further       If you don't want to do something for somebody, you should manage to say ""No."" in the first place.  The moment you give in, you've given them the impression   ①  that they can use your time as long as they try hard enough.  No ""Let me see.""  No ""Maybe.""  Just ""No."" and a ""Sorry."" if you want to be polite.  Or you can ask ""How much?"" if it suits you.  Time is the most precious   ②  thing that we have.  Once you lose a piece of it, you can never get it back.  And you have the freedom   ③  to decide how to use each piece of it.   So if someone want a piece of your time, they have to be worth it, either by being someone you truly care about or by providing enough payment.  Let me say it once again.   Time is the most precious thing that we have.  Learn to refuse when people ask for your time.","['1', '0', '1', '0', '1', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
119,"   Wedding in the United States      Weddings in the United States vary as much as the people do. There are church weddings with a great deal of fanfare; there are weddings on mountaintops with guests barefooted; and there have been weddings on the ocean floor with oxygen tanks for the guests.   But many weddings, no matter where or how they are performed    ，    include certain traditional customs.  Before a couple is married, they become engaged. And then invitations are sent to those who live nearby, their close friends and their relatives who live far away.   When everything is ready, then comes the most exciting moment.  The wedding itself usually lasts between 20 and 40 minutes. The wedding party enters the church while the wedding march is played. The bride carrying a bouquet enters last with her father who will ""give her away"". The groom enters the church from a side door. When the wedding party is gathered by the altar   ①  , the bride and groom exchange vow.   It is traditional to use the words ""To have and to hold from this day forward, for better, for worse, for richer, for poorer, in sickness and in health, to love and to cherish, till death do us part"".  Following the vows, the couple exchange rings. Wearing the wedding ring on the fourth finger of the left hand is an old custom.  After the ceremony there is often a party, called a ""reception"" which gives the wedding guests an opportunity to congratulate the newlywed.  The car in which the couple leaves the church is decorated with balloons, streamer and shaving cream. The words ""Just Married"" are painted on the trunk or back window. The bride and groom run to the car under a shower of rice thrown by the wedding guests.   When the couple drives away from the church, friends often chase them in cars, honking    ②   and drawing attention to them. And then the couple go on their honeymoon.","['1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,"   The Road Not Taken      Two roads diverged   ①  in a yellow wood,  And sorry I could not travel both.   And be one traveler, long I stood And looked down one as far as I could,   To where it bent in the under-growth  ;  Then took the other, as just as fair, And having perhaps the better claim,  Because it was grassy and wanted wear;Though as for that the passing there,  Had worn them really about the same,  And both that morning equally lay In leaves no step had trodden black.Oh, I kept the first for another day!   Yet knowing how way leads on to way,I doubted if I should ever come back.   I shall be telling this with a sigh    ，    Somewhere ages and ages hence:Two roads diverged in a wood, and I -I look the one less traveled by, And that has made all the difference.","['0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
121,"   Never let sadness get you down      Seven years ago, my wife and I had to take our five week old daughter off of life support, by far the hardest and most painful decision of our life. Our daughter, Alle Shea, was born with the rare bone disease called Osteogenesis Imperfecta   ①  . At birth Alle Shea  ’  s skull looked like a cracked   ②  egg on the x-rays. She also had multiple fractures   ③  in her arms and her ribs, her legs, and her wrist.   The day Alle was leaving us, we were able to take her outside on the hospital deck and hold her in our arms until she passed away.  Now, we had two choices that day: we could have let the grief   ④  over take us, or we could take that grief and turn it into a positive   ⑤  . Since that day, my wife and I have worked tirelessly volunteering   ⑥  our time hosting special events, and talking to students and the media about OI. We even contacted hospitals to try to get them on board with our cause-and this is the battle we are still fighting. Over the seven years, we have volunteered thousands of hours. February of 2015 we started OI Care for You program.   We send stuffed   ⑦   animals to children with OI in the hospital for treatment, surgery   ⑧   or home recovering from a break.  Each one brings a smile and comfort to a child with Osteogenesis Imperfecta(OI).   We had OI families come from neighboring cities and towns and thank us for doing what we do and giving them another way to show support for a family member with OI.","['1', '1', '1', '0', '0', '1', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '1', '1', '0']",1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
122,"     To speak is to pretend to be someone else.      Being sociable   ①  can mean many things.   But in some aspects, there is only one criteria    ②   in judging whether one is sociable or not. And that is whether this person can understand how other people think or not.  When some people talk with others, they'll fall into silence after a few sentences.  They want to find something to talk about but don't know what to say.  And if this kind of things happen too often, some of them will start to avoid communicating with others. And some of them even start to doubt if they are incapable   ③  in communicating.  And there is another kind of people. When they talk with other people, after a while, the people who they talk to will become not so happy.  This is not because they are too emotional   ④  .  This problem comes from us.   It's because we cannot understand the change in their emotion. It's because we cannot understand the implication    ⑤   they give out.  And thus we entered the dangerous zone in their hearts and created a barrier   ⑥  between us and them.  You should stand in other people's shoes.  You should see from other people's point of view when you talk to them.   When you can understand what people want to say, you'll know what to say to them.  This is the true sociability   ⑦  .  This is the kind of communication that brings people closer  .","['0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"   On Resignation      Resignation   ①  is of two sorts, one rooted in despair, the other in unconquerable hope. The man who has suffered such fundamental defeat that he has given up hope of serious achievement may learn the resignation of despair, and if he does, he will abandon all serious activity.   He may, camouflage    ②   his despair by religious phrases, or by the doctrine    ③   that contemplation    ④   is the true end of man, but whatever disguise he may adopt to conceal his inward defeat, he will remain essentially useless and fundamentally unhappy.  The man whose resignation is based on unconquerable hope acts in quite a different way. Hope which is to be unconquerable must be large and impersonal.   Whatever my personal activities, may be defeated by death, or by certain kinds of diseases; I may be overcome by my enemies; I may find that I have embarked    ⑤   upon an unwise course which cannot lead to success.  In a thousand ways the failure of purely personal hopes may be unavoidable, but if personal aims have been part of larger hopes for humanity, there is not the same utter defeat when failure comes.","['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,"    I don't agree with you, but I respect you.      With the years gone by, I have found that more and more people that I met have different views from mine.  Sometimes I couldn't even use the word ""different"" to describe this, because our views were almost conflicting   ①  .   In the past, I used to tend to argue with people like this. I always wanted to persuade them all and make them accept my view while admitting    ②   that they themselves were wrong.  But as time passed by I gradually came to realize that what I had been doing might be not right.  Every person has different experience. And our views are extracted from our own experiences.  There are too much subjective   ③  things in these views. And we think there's no need to question these beliefs.  But when you ask yourself ""Why are these beliefs right?""  The only answer you can give yourself may just be ""Because they are just right.""  And where is the logic   ④  in all of this?   That's why now I choose to respect a person even if our views are totally different.   Because, ultimately    ⑤   , I cannot be sure that what I think is right.  Better let result be the judge.","['0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,"   Blood, Toil, Sweet and Tears      I say to the House as I said to Ministers who have joined this government, I have nothing to offer but blood, toil, sweat and tears. We have before us an ordeal   ①  of the most grievous   ②  kind. We have before us many, many months of struggle and suffering.  You ask, what is our policy? I say it is to wage war by land, sea and air. War with all our might and with all the strength God has given us, and to wage war against a monstrous tyranny   ③  never surpassed in the the dark and lamentable   ④  catalogue of human crime. That is our policy.  You ask, what is our aim? I can answer in one word. It is victory.   Victory at all costs -victory in spite of all terrors- victory, however long and hard the road may be, for without victory there is no survival.  Let that be realized. No survival for the British Empire, no survival for all that the British Empire has stood for, no survival for the urge, the impulse of the ages, that mankind shall move forward toward his goal.   I take up my task in buoyancy    ⑤   and hope. I feel sure that our cause will not be suffered to fail among men.  I feel entitled at this juncture   ⑥  , at this time, to claim the aid of all and to say, ""Come then, let us go forward together with our united strength.""","['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"    Modesty and self-confidence should be moderate      ""These aren't even that good. I think I could do better."" That's one of the reasons I started writing. Because I was reading other articles and that thought came to mind. I've even thought that about books. Famous books. Brilliant   ①  books.  Who the fuck am I to think that?  That's my ego.  And I'm grateful   ②  for it.  Because I never would've started writing without it. I never would've found something I love to do without it. I never would've been able to quit my 9-5 without it.  But...  Sometimes I get too caught up in it.   I'll let other people's accomplishments    ③   get inside me and make me feel bad.  I become jealous. I become resentful.   I let myself be tricked    ④   into think I'm not good enough, or doing enough, or being enough.  That's when my ego   ⑤  becomes unhelpful   ⑥  .  I don't think having an ego is good or bad.  I think it's good and bad.","['0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,"   The World as I See It      How strange is the lot of us mortals! Each of us is here for a brief sojourn   ①  ; for what purpose be knows not, though he sometimes thinks he senses it. But without deeper reflection one knows from daily life that one exists for other people -first of all for those upon whose smiles and well-being our own happiness is wholly dependent, and then for the many, unknown to us, to whose destinies we are bound by the ties of sympathy.   A hundred times every day I remind myself that my inner and outer life are based on the labors of other men, living and dead, and that I must exert myself in order to give in the same measure as I have received and am still receiving.  I am strongly drawn to a frugal   ②  life and am often oppressively aware that I am engrossing   ③  an undue amount of the labor of my fellow-men. regard class distinction as unjustified and, in the last resort, based on force.   I also believe that a simple and unassuming life is good for everybody, physically and mentally.  My passionate sense of social justice and social responsibility has always contrasted oddly with my pronounced lack of need for direct contact with other human beings and human communities. I am truly a ""lone traveler"" and have never belonged to my country, my home, my friend, or even my immediate family, with my whole heart; in the face of all these ties, I have never lost a sense of distance and a need for solitude-feelings which increase with the years. One becomes sharply aware, but without regret of the limits of mutual understanding and consonance with other people.   No doubt, such a person loses some of his innocence and unconcern; on the other hand, he is largely independent, of the opinions, habits, and judgments of his fellows and avoids the temptation to build his inner equilibrium    ④   upon such insecure foundations.","['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,"   Invest time      Think of how stingy   ①  you are with your money: if someone on the street asks for$10, you're not giving it to them.   There's no way you're giving a 30%tip for a normal dining experience. And so on.  And yet so many of us just waste ungodly   ②  amounts of our time. We throw it away, every day. I know I do unless I'm careful.   What helps me to not waste time is to see it as an investment    ③   , and to keep track of the returns I get for my investment.  This approach has led me to recognize that some things offer incredible   ④  immediate return on investment: a night spent learning a new song on my preferred instruments, for example, gives me a lifetime of being able to play that song. That's an incredible return. Other investments are more like low-interest, high security, long-term investments: going to the gym, eating right, etc. Some, like reading good books, are kind of a combination of both.  But many activities are worthless from an investment perspective   ⑤  :   whatever benefit they seem to give doesn't last any longer than the activity itself.  ""Price is what you pay. Value is what you get.""-Warren Buffett. This applies to everything: money, relationships, time. Knowing this changes your life.","['1', '1', '1', '0', '1', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
129," Please let yourself be worthy of love.      If you're really longing for   ①  love, don't just wait for it to happen.  Make yourself deserving   ②  this love.  Don't just wait for someone to warm your heart every time you feel low.  Become someone who can warm others.   If you want something beautiful, the best way to get it is to make yourself deserving it.   It's all the same whether what you want is wealth or love or fame.  No one likes a person who only asks for things.  And love is not an elixir   ③  .  True love is not illogical   ④  .  It's not irrational   ⑤  .  It's the resonance   ⑥  of two mature   ⑦  souls.  So don't just wait for love to be handed to you. It doesn't come that way. True love comes from efforts.  And only love like this can go far.","['0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,"    A little less time, but also to read out      Reading is not just about learning a certain skill.  Nor is it just about learning how to create prettier combination   ①  of words.   Reading is a form of communication which is in a higher rank than mere    ②   conversation.   Many successful people have shared the same kind of wisdom    ③   that if you want to become a kind of person you should try your best to spend time with this kind of people.  If you want to become someone with good manner, you should try to make friends with people who have good manner.  If you want to become someone learned, you should try to stay in touch with learned people.  If you want to become someone successful, you surely should communicate with those who are actually successful.  But unfortunately, outstanding   ④  people are usually far away from us. If you yourself are not outstanding enough, it's almost impossible for you to reach them.  And this is what reading is for. A book is the embodiment   ⑤  of a great mind. Through reading you can communicate with those great minds. And this kind of communication is beyond time and space.  Reading can bring you out of the cage of your daily life. It shows you new opportunities that you've never seen.  For a lot of people, this may be the only method to change their lives.  No matter how busy you are, don't forget to spare some time to do it.   If you don't find yourself time to read, you'll eventually find yourself without any time to live the life that you want to live.","['1', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,"    Your mind determines your destiny.      This world is not fair.  Some people are born in wealthy families. They never need to worry about things like food as they grow up.  Some people are born in poor families. They need to learn how to survive when they were still kids.  Some people are born in stable   ①  countries. They don't really know what it means to feel scared.  Some people are born among wars and chaos   ②  . They need to do everything they can just to stay alive.  But people who are born in wealthy families can grow into useless ones and fall out   ③  of their previous social status.  People who are born in poor families can find a way that suits themselves to work hard and change their lives completely.  People who are born in stable countries can choose wrong paths and become timing bombs for their societies.  Yet there are lights of humanity   ④  even in the most chaotic country in the world.  20 years ago, Zuckerberg was still a teenager whom no one knew. Even when he founded Facebook, there were not many people who saw a promising   ⑤  fut  u  re in him.  But now he has become one of the most important figures   ⑥  around the world.   Your way of thinking decides your fate.   It would be the greatest regret in your whole life if you let opportunities slip    ⑦   away through your fingers.","['0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"    There is a godine in the midst of it      It is spring of 1943 during World War II.   Standing among hundreds of new soldiers at Camp Grant, in Illinois, my father, Sam, just 18 years old, waits as a truck slowly drives by.  A full field pack is randomly   ①  tossed to each soldier.  How strange, my father thinks, as he sees his last name, Litrenti, marked on each item in his pack.  How did they know it was me when they tossed   ②  the pack?   He was impressed    ③   !  Beating all odds, my father was tossed a field pack from World War. It’s his own father’s.","['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"    Even if life is trivial, you need to live gracefully.      Who can say that their lives are not insignificant   ①  ?  Everyone's life is composed   ②  with one after another insignificant day.  Some people got their willpower   ③  abraded   ④  in this endless loop   ⑤  of days.  They think this is how things can only be like.  So they choose to reach a compromise   ⑥  and become mediocre   ⑦  . They become the background   ⑧  colors in others' eyes.   They won't achieve anything great to be written down in history, nor can they bring any enjoyment to the people around them.  They are alive, but deep down in their hearts something important has died.  And there are another kind of people. They choose to live with dignity   ⑨  .   A graceful lifestyle is not a show for others to watch. You live it because you deserve it.  Through it, you are avoiding to become a victim   ⑩  of this cruel world.  This kind of people know how to find joy in simple things. They know how to make a common day safisticated and meaningful.  Life has denied them some beauty. But they build them with their own hands.  So which kind of these two are you? And which kind are you willing to be?  Have you find the answer?","['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,"   I Will Run to the Goal      It was a classic night. The noisy Mexico City gradually calmed down. The main stadium of Olympic track and field   ①  competition was enveloped in the darkness.  After he finished making the scenes the marathon winners received the trophies   ②  and marked the victory, Greenspan, the world famous newsreel   ③  producer, found the stadium empty. It was time for him to return to the hotel for a rest.   He was about to leave when he suddenly saw a bandaged man with his right leg stained with the blood ran into the stadium.  This man ran lamely out of breath, but he didn’t stop. After he ran along the runway for a circle and got to the goal, he collapsed   ④  on the ground.  Greenspan guessed this was a marathon athlete. Out of curiosity, he went over to ask why the athlete wanted to run to the goal with such a difficulty.  The young man called Kowari from Tanzania replied gently, “   That my country sent me here from more than 20,000 kilometers is not let me get off the mark in the competition, but makes me complete the game.  I want to run to the goal, though I have fallen behind all other runners, but I have a sacred goal like them  ：  I will run to the goal. Though the audience won’t cheer me any more, my motherland is watching me intently from behind...”  Tears welled up in Greenspan's eyes. Soon, he spread the most touching scene in the history of the Olympic Games to every corner of the world.  Life should have a dream of reaching the peak, yet we should understand not everybody has the ability to do it.   The most important is not whether we can reach the peak but whether we have made the greatest efforts to reach the goal in the mind is a success.","['0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
135,"   Give Children Their Room      In this age of Internet chat, video games and reality television, there is no shortage of mindless activities to keep a child occupied. Yet, despite the competition, my 8-year-old daughter Rebecca wants to spend her leisure time writing short stories. She wants to enter one of her stories into a writing contest, a competition she won last year.  As a writer I know about winning contests, and about losing them. I know what it is like to work hard on a story only to receive a rejection slip from the publisher. I also know the pressures of trying to live up to a reputation created by previous victories. What if she doesn’t win the contest again? That’s the strange thing about being a parent. So many of our own past scars   ①  and dashed hopes can surface.  A revelation came last week when I asked her, “Don’t you want to win again?” “No,” she replied, “I just want to tell the story of an angel going to first grade.”  I had just spent weeks correcting her stories as she spontaneously   ②  told them. Telling myself that I was merely an experienced writer guiding the young writer across the hall, I offered suggestions for characters, conflicts and endings for her tales.   The story about a fearful angel starting first grade was quickly “guided” by me into the tale of a little girl with a wild imagination taking her first music lesson.  I had turned her contest into my contest without even realizing it.   Staying back and giving kids space to grow is not as easy as it looks.  Because I know very little about farm animals who use tools or angels who go to first grade, I had to accept the fact that I was co-opting (  借用  )my daughter’s experience.   While stepping back was difficult for me, it was certainly a good first step that I will quickly follow with more steps, putting myself far enough away to give her room but close enough to help if asked.  All the while I will be reminding myself that children need room to experiment, grow and find their own voices.","['1', '1', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
136,"   Reject to Stereotype      To see if hair color affects a person's chances of getting a job, researchers at California State University asked 13 college students to review the resume and photograph of a female applicant for a job as an accountant. Each student was given the same resume but the job seeker's picture was altered   ①  so that in some photos, her hair was golden, in some red and in some brown.  The result  —  with brown hair, the woman was rated more capable and she was offered a higher salary than when she had a golden or red hair. Other studies have found similar results. Many respondents   ②  rate women with golden hair as less intelligent than other people and red hair as more temperamental   ③  . Women with red or golden hair are victims of the common practice of stereotyping.   A stereotype    ④   is a simplistic or exaggerated    ⑤   image that human carries in their minds about groups of people.  For example, lawyers are shrewd   ⑥  and dishonest is a popular stereotype. Stereotyping can occur in public speaking classes when trying to choose a speech topic. Some males think that women are uninterested in how to repair cars or some females think that men are uninterested in creative hobbies, such as knitting   ⑦  a needlepoint   ⑧  .  We should reject to stereotypes because they force all people in a group into the same simple pattern.   They fail to account for individual differences and the wide range of characteristics among members of any group.  Some lawyers are dishonest, yes, but many are not. Some women are  uninterested in repairing cars, yes, but some are enthusiastic with mechanics.","['0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
137,"   A   “   To-do   ”   List      Many days seem to bring numerous tasks and responsibilities. All of which apparently must be tackled   ①  right away. You spend a day putting out files, but by the end of the day, you haven’t accomplished any of the really important things you set out to do.  In desperation   ②  , you draft a “to-do” list, but most days, you can make little progress with it.   When you look at the list each morning, a big fat cloud of doom is right at the top — those difficult, complex, important tasks, that are so crucial    ③   to get done, and so easy to avoid.  Plenty of us create a “to-do” list to address feelings of being overwhelmed, but we rarely use these tools to their best effect.   They wind up being guilt-provoking reminders of the fact that we are over-committed and losing control of our priorities   ④  .  According to Timothy Pikle, a professor of psychology at Carlton University in Ottawa, people often draw up a “to-do” list, and then that’s it. The list itself becomes the day’s achievement, allowing us to feel we’ve done something useful without taking on any real work.  In fact, drawing up the list becomes a way of avoiding the work itself. “   Too often, the list is seen as the accomplishment for the day, reducing the immediate guilt of not working on the tasks at hand by investing energy in the list,  ” says Pikle, “   when a list is used like this, it’s simply another way in which we lie to ourselves  .”","['1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
